home_team,away_team,time_slot,year,week_of_season,home_users,away_users,all_users,concurrent_games,last_5_handle_all,last_5_handle_home,last_5_handle_away,all_registered,is_faux_future,handle
Wonder Whales,Snappy Snakes,mon_early,2018.0,12.0,0,0,0,3,13317236.8000001,586886.0,1982564.30000002,28996,False,76085.1999999998
Fleeting Felines,Snappy Snakes,mon_early,2019.0,14.0,791,0,791,3,14898796.6000001,633327.499999999,1405026.09999999,67387,False,106315.9
Wonder Whales,Snappy Snakes,mon_early,2019.0,15.0,0,0,0,3,13716633.0000001,1103243.09999999,1133867.49999999,67894,False,117037.1
Ramblin Rabbits,Snappy Snakes,sun,2018.0,20.0,918,0,918,1,8723726.79999997,1202208.39999999,1133573.60000001,35250,False,76318.4999999999
Pirate Poodles,Snappy Snakes,mon_early,2019.0,21.0,0,0,0,4,10943996.9999999,1395590.1,1103576.20000001,70929,False,196216.0
Devilish Deer ,Snappy Snakes,mon_mid,2019.0,25.0,9811,0,9811,1,18617037.6000002,2121321.0,1880566.39999998,73609,False,793405.799999984
Devilish Deer ,Snappy Snakes,mon_mid,2018.0,25.0,1071,0,1071,1,19066903.8000002,2636189.70000004,2477756.20000003,40255,False,630062.399999992
Bellicose Bluejays,Terrible Ticks,sun,2020.0,3.0,1105,11278,12383,3,471500.4,,72838.6000000003,76447,False,14673.4
Intense Iguanas,Terrible Ticks,mon_mid,2020.0,6.0,0,11583,11583,1,2505291.00000001,,106178.2,78033,False,113456.9
Lucky Leopards,Terrible Ticks,mon_early,2019.0,7.0,45858,7306,53164,5,7749988.80000024,339231.200000004,219635.100000001,59707,False,145468.3
Hopeful Hens,Terrible Ticks,mon_early,2020.0,8.0,0,11836,11836,5,12237935.6000002,118479.000000001,1699648.40000007,79105,False,52208.4
Pirate Poodles,Terrible Ticks,mon_early,2018.0,8.0,0,420,420,2,13592788.2000002,614800.600000002,1679018.20000007,21374,False,61637.4
Devilish Deer ,Terrible Ticks,mon_early,2018.0,10.0,629,487,1116,2,12078446.4000001,1600764.50000002,1921218.00000007,25539,False,46331.5999999999
Intense Iguanas,Terrible Ticks,tues,2019.0,10.0,0,8312,8312,1,14286050.6000001,959967.899999988,795385.399999998,62609,False,807154.499999995
Ramblin Rabbits,Terrible Ticks,mon_mid,2019.0,11.0,7088,8875,15963,1,13303006.0000002,1168363.29999999,1294690.80000004,64498,False,177585.8
Cyclic Cobras,Terrible Ticks,mon_early,2018.0,13.0,0,531,531,5,13768457.6000001,1706123.60000003,1794610.30000003,29984,False,46032.0999999999
Intense Iguanas,Terrible Ticks,mon_mid,2018.0,14.0,0,541,541,1,12460688.8000001,1514812.00000007,1726597.30000003,30834,False,59182.4
Wonder Whales,Terrible Ticks,mon_early,2018.0,18.0,0,580,580,4,8672309.40000005,303525.100000001,1214781.50000002,34317,False,48707.9999999999
Devilish Deer ,Terrible Ticks,mon_early,2019.0,19.0,8952,10036,18988,3,10272479.2000001,1560451.60000001,1217457.40000002,69781,False,90741.9999999998
Cyclic Cobras,Terrible Ticks,tues,2019.0,21.0,0,10181,10181,1,10943996.9999999,997379.000000013,392511.900000001,70354,False,357246.000000001
Lightning Lions,Terrible Ticks,mon_early,2019.0,22.0,0,10494,10494,4,8749753.59999994,642135.299999991,696282.499999989,71770,False,89284.9999999999
Ramblin Rabbits,Terrible Ticks,mon_mid,2018.0,22.0,965,603,1568,4,9757519.79999996,688997.599999996,736859.49999999,36523,False,22796.8
Hungry Harpys,Terrible Ticks,sun,2019.0,24.0,51594,10699,62293,2,15890945.4,805818.599999996,1241173.49999999,72943,False,730333.399999996
Cyclic Cobras,Wonder Whales,mon_early,2020.0,7.0,0,0,0,4,9670600.20000021,336586.599999998,128096.500000001,78633,False,70518.9999999999
Lightning Lions,Wonder Whales,mon_mid,2018.0,8.0,0,0,0,1,13592788.2000002,483862.800000001,340503.600000002,21374,False,36367.5
Ramblin Rabbits,Wonder Whales,mon_mid,2019.0,8.0,6259,0,6259,2,13769351.2000002,340376.500000002,376871.100000002,61022,False,108464.7
Lucky Leopards,Wonder Whales,mon_early,2020.0,9.0,55035,0,55035,4,14590179.0000002,1070762.49999999,438593.400000002,79383,False,83417.6999999998
Bellicose Bluejays,Wonder Whales,mon_mid,2018.0,11.0,211,0,211,1,12500701.2000001,1262768.49999999,640986.2,26921,False,54364.4999999999
Pirate Poodles,Wonder Whales,mon_early,2019.0,12.0,0,0,0,3,16592417.8000003,362330.300000002,581617.1,66152,False,103701.5
Devilish Deer ,Wonder Whales,mon_early,2018.0,13.0,718,0,718,5,13768457.6000001,2038547.30000003,685318.6,29984,False,38280.9999999999
Lightning Lions,Wonder Whales,fri,2019.0,14.0,0,0,0,1,14898796.6000001,1544750.40000001,891430.5,67103,False,298234.500000002
Intense Iguanas,Wonder Whales,mon_mid,2018.0,16.0,0,0,0,2,9420223.20000005,1137670.00000001,1089830.49999999,32798,False,34375.5
Devious Dandys,Wonder Whales,mon_early,2019.0,17.0,0,0,0,3,11193586.4000001,364217.100000001,539310.599999996,68946,False,62448.9999999998
Bellicose Bluejays,Wonder Whales,mon_early,2019.0,20.0,895,0,895,3,10865200.4,301836.600000001,235196.000000001,70241,False,73920.0999999999
Pirate Poodles,Wonder Whales,mon_early,2018.0,22.0,0,0,0,4,9757519.79999996,1550199.3,395486.000000002,36523,False,63633.1
Snappy Snakes,Wonder Whales,mon_mid,2019.0,23.0,0,0,0,2,12763111.6,1165322.40000001,427667.300000002,72165,False,100212.3
